Cluster,MappedCluster,TrueLabel,Matched
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
7,12.0,12.0,1
